company_name,domain,status,tier,annual_revenue,headquarters,employee_count,primary_products,contact_first_name,contact_last_name,contact_title,contact_email,contact_phone,linkedin_url,founded_year,website
Caterpillar Inc.,caterpillar.com,Active,Tier 1,$64.8B,Peoria Illinois USA,114000,Excavators loaders bulldozers mining equipment,Joseph,Creed,CEO,,Not available,Not available,1925,https://www.caterpillar.com
John Deere,deere.com,Active,Tier 1,$48.6B,Moline Illinois USA,83000,Construction machinery dozers backhoes,Ryan,Campbell,President Construction & Forestry,,Not available,Not available,1837,https://www.deere.com
Komatsu America Corp,komatsu.com,Active,Tier 1,$19.5B,Chicago Illinois USA,62000,Wheel loaders excavators bulldozers,Not available,Not available,North America CEO,,847-437-5800,Not available,1921,https://www.komatsu.com
Volvo Construction Equipment North America,volvoce.com,Active,Tier 1,$8.7B,Shippensburg Pennsylvania USA,5000,Articulated haulers compactors wheel loaders,Not available,Not available,President North America,,Not available,Not available,1832,https://www.volvoce.com
Case Construction Equipment,casece.com,Active,Tier 1,$19.8B,Racine Wisconsin USA,28555,Backhoes skid steers wheel loaders,Not available,Not available,Brand President,,716-433-5923,Not available,1842,https://www.casece.com
Terex Corporation,terex.com,Active,Tier 1,$5.2B,Fredericksburg Virginia USA,12000,Cranes aerial work platforms telehandlers,Simon,Meester,President and CEO,,540-361-7755,Not available,1933,https://www.terex.com
JLG Industries Inc.,jlg.com,Active,Tier 1,$814.7M,McConnellsburg Pennsylvania USA,Not available,Aerial lifts telehandlers stock pickers,Not available,Not available,CEO,,717-485-5161,Not available,1969,https://www.jlg.com
Honeywell International Inc.,honeywell.com,Active,Tier 1,$37.7B,Charlotte North Carolina USA,102000,PPE gas detectors safety equipment,Not available,Not available,CEO,,Not available,Not available,1906,https://www.honeywell.com
MSA Safety Incorporated,msasafety.com,Active,Tier 1,$1.8B,Cranberry Township Pennsylvania USA,5000,Helmets fall protection gas detection,Not available,Not available,CEO,,Not available,Not available,1914,https://www.msasafety.com
DuPont de Nemours Inc.,dupont.com,Active,Tier 1,$12.6B,Wilmington Delaware USA,24000,Protective suits gloves chemical protection,Lori,Koch,CEO,,302-295-5783,Not available,1802,https://www.dupont.com
Kimberly-Clark Corporation,kimberly-clark.com,Active,Tier 1,$19.4B,Dallas Texas USA,45000,Disposable gloves masks protective apparel,Michael,Hsu,Chairman and CEO,,Not available,Not available,1872,https://www.kimberly-clark.com
Ansell Ltd US Operations,ansell.com,Active,Tier 1,$1.6B,Richmond Victoria Australia,14000,Industrial gloves protective equipment,Neil,Salmon,Managing Director and CEO,,732-345-5400,Not available,1905,https://www.ansell.com
Lakeland Industries Inc.,lakeland.com,Active,Tier 2,$46.6M,Ronkonkoma New York USA,1500,Protective clothing chemical suits,James,Jenkins,President and CEO,,Not available,Not available,1982,https://www.lakeland.com
Radians Inc.,radians.com,Active,Tier 2,$19.7M,Memphis Tennessee USA,200,High-visibility vests safety eyewear,Mike,Tutor,President and CEO,,Not available,Not available,1997,https://www.radians.com
Moldex-Metric Inc.,moldex.com,Active,Tier 1,$555.5M,Culver City California USA,750,Respirators earplugs hearing protection,Mark,Magidson,President and CEO,,310-837-6500,Not available,1980,https://www.moldex.com